1/144: MAE = 7.8988 ± 2.6771, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
42/144: MAE = 7.8254 ± 2.5675, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
43/144: MAE = 8.4047 ± 2.6583, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
44/144: MAE = 7.9281 ± 2.6156, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
45/144: MAE = 8.5888 ± 2.8253, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
46/144: MAE = 8.1132 ± 2.8225, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
47/144: MAE = 8.1861 ± 2.6381, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
48/144: MAE = 8.5565 ± 2.7746, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
49/144: MAE = 7.6781 ± 2.5962, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
50/144: MAE = 7.5137 ± 2.5907, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
51/144: MAE = 7.4746 ± 2.6123, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
52/144: MAE = 7.4777 ± 2.6107, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
53/144: MAE = 7.7089 ± 2.6325, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
54/144: MAE = 7.6741 ± 2.6521, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
55/144: MAE = 7.5103 ± 2.6495, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
56/144: MAE = 7.6586 ± 2.5207, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
57/144: MAE = 7.6975 ± 2.5295, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
58/144: MAE = 7.9040 ± 2.4866, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
59/144: MAE = 7.7258 ± 2.5757, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
60/144: MAE = 7.7961 ± 2.5415, params = {'population_size': 50, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
61/144: MAE = 7.7380 ± 2.6454, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
62/144: MAE = 7.4723 ± 2.6252, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
63/144: MAE = 7.4844 ± 2.5928, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
64/144: MAE = 7.6163 ± 2.6192, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
65/144: MAE = 7.7116 ± 2.6051, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
66/144: MAE = 7.5549 ± 2.5329, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
67/144: MAE = 7.8069 ± 2.6738, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
68/144: MAE = 7.6113 ± 2.6377, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
69/144: MAE = 7.6777 ± 2.6202, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
70/144: MAE = 7.7898 ± 2.4288, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
71/144: MAE = 7.8457 ± 2.5811, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
72/144: MAE = 7.6533 ± 2.6031, params = {'population_size': 50, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
73/144: MAE = 7.6993 ± 2.5316, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
74/144: MAE = 7.4957 ± 2.5638, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
75/144: MAE = 7.5981 ± 2.7218, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
76/144: MAE = 7.6245 ± 2.5921, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
77/144: MAE = 7.7078 ± 2.6028, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
78/144: MAE = 7.6332 ± 2.7038, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
79/144: MAE = 7.7077 ± 2.5643, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
80/144: MAE = 7.6615 ± 2.6320, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
81/144: MAE = 7.6363 ± 2.6128, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
82/144: MAE = 7.6761 ± 2.4176, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
83/144: MAE = 7.7372 ± 2.7002, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
84/144: MAE = 7.5517 ± 2.7236, params = {'population_size': 50, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
85/144: MAE = 7.7219 ± 2.5833, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
86/144: MAE = 7.7006 ± 2.5435, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
87/144: MAE = 7.6020 ± 2.6959, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
88/144: MAE = 7.5922 ± 2.6621, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
89/144: MAE = 7.6637 ± 2.5810, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
90/144: MAE = 7.5026 ± 2.6142, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
91/144: MAE = 7.4889 ± 2.6851, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
92/144: MAE = 7.6079 ± 2.5362, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
93/144: MAE = 7.6148 ± 2.8188, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
94/144: MAE = 7.5652 ± 2.5849, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
95/144: MAE = 7.9322 ± 2.4906, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
96/144: MAE = 7.8936 ± 2.4090, params = {'population_size': 50, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
97/144: MAE = 7.5048 ± 2.5494, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
98/144: MAE = 7.4178 ± 2.5788, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
99/144: MAE = 7.3214 ± 2.5969, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
100/144: MAE = 7.3481 ± 2.6335, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
101/144: MAE = 7.5468 ± 2.6532, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
102/144: MAE = 7.6355 ± 2.6157, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
103/144: MAE = 7.5454 ± 2.7342, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
104/144: MAE = 7.5612 ± 2.4335, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
105/144: MAE = 7.4875 ± 2.5369, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
106/144: MAE = 7.5442 ± 2.5654, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
107/144: MAE = 7.5138 ± 2.5137, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
108/144: MAE = 7.5225 ± 2.7554, params = {'population_size': 70, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
109/144: MAE = 7.5483 ± 2.5534, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
110/144: MAE = 7.5309 ± 2.7464, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
111/144: MAE = 7.5656 ± 2.5783, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
112/144: MAE = 7.4447 ± 2.5997, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
113/144: MAE = 7.4871 ± 2.5809, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
114/144: MAE = 7.4624 ± 2.5816, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
115/144: MAE = 7.5358 ± 2.6248, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
116/144: MAE = 7.4391 ± 2.6338, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
117/144: MAE = 7.5284 ± 2.6034, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
118/144: MAE = 7.3955 ± 2.6562, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
119/144: MAE = 7.5701 ± 2.5449, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
120/144: MAE = 7.6466 ± 2.6483, params = {'population_size': 70, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
121/144: MAE = 7.4910 ± 2.5795, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
122/144: MAE = 7.4708 ± 2.6252, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
123/144: MAE = 7.3262 ± 2.6320, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
124/144: MAE = 7.3773 ± 2.6559, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
125/144: MAE = 7.5948 ± 2.7408, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
126/144: MAE = 7.4042 ± 2.6149, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
127/144: MAE = 7.5084 ± 2.6219, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
128/144: MAE = 7.4202 ± 2.5152, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
129/144: MAE = 7.6384 ± 2.5947, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
130/144: MAE = 7.5612 ± 2.7398, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
131/144: MAE = 7.6713 ± 2.6751, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
132/144: MAE = 7.5293 ± 2.5482, params = {'population_size': 70, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
133/144: MAE = 7.5219 ± 2.4564, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
134/144: MAE = 7.6330 ± 2.6769, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
135/144: MAE = 7.4584 ± 2.6857, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
136/144: MAE = 7.4741 ± 2.7366, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
137/144: MAE = 7.4527 ± 2.5541, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
138/144: MAE = 7.5797 ± 2.5774, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
139/144: MAE = 7.5060 ± 2.7540, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
140/144: MAE = 7.5174 ± 2.5696, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
141/144: MAE = 7.4547 ± 2.6550, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
142/144: MAE = 7.4038 ± 2.6353, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
143/144: MAE = 7.5055 ± 2.5329, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
144/144: MAE = 7.7291 ± 2.8402, params = {'population_size': 70, 'generations': 170, 'crossover_rate': 0.9, 'mutation_factor': 0.75}

=== Best Hyperparameters ===
{'population_size': 70, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
Mean MAE across folds: 7.3214 ± 2.5969
