
=== Outer Fold 1/5 ===
  1/150: MAE = 22.9609 ± 3.0495, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  109/150: MAE = 21.0996 ± 5.7064, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  110/150: MAE = 19.2979 ± 5.0254, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  111/150: MAE = 18.2899 ± 1.7053, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  112/150: MAE = 17.1875 ± 2.2465, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  113/150: MAE = 20.1224 ± 3.2878, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  114/150: MAE = 18.3535 ± 7.7914, params = {'initial_temperature': 200, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  115/150: MAE = 25.8586 ± 5.8951, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  116/150: MAE = 17.1308 ± 4.4076, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  117/150: MAE = 20.3133 ± 3.4206, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  118/150: MAE = 17.7428 ± 4.9776, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  119/150: MAE = 22.2680 ± 3.9745, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  120/150: MAE = 20.9883 ± 7.7386, params = {'initial_temperature': 200, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  121/150: MAE = 22.1438 ± 6.2047, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  122/150: MAE = 17.2342 ± 5.6231, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  123/150: MAE = 21.3109 ± 1.5634, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  124/150: MAE = 21.4887 ± 6.4406, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  125/150: MAE = 20.5352 ± 2.0045, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  126/150: MAE = 15.2537 ± 6.2389, params = {'initial_temperature': 300, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  127/150: MAE = 20.5287 ± 2.1727, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  128/150: MAE = 16.8328 ± 5.2766, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  129/150: MAE = 22.0128 ± 6.6869, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  130/150: MAE = 19.7086 ± 3.8536, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  131/150: MAE = 24.5253 ± 2.7404, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  132/150: MAE = 22.7853 ± 4.1260, params = {'initial_temperature': 300, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  133/150: MAE = 24.1421 ± 2.1724, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  134/150: MAE = 17.2188 ± 5.9264, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  135/150: MAE = 21.9434 ± 8.0655, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  136/150: MAE = 17.4732 ± 3.1932, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  137/150: MAE = 24.4434 ± 5.1212, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  138/150: MAE = 16.9093 ± 2.6987, params = {'initial_temperature': 300, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  139/150: MAE = 24.6111 ± 1.4425, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  140/150: MAE = 18.5124 ± 7.5718, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  141/150: MAE = 19.4776 ± 6.2119, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  142/150: MAE = 15.6970 ± 3.7112, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  143/150: MAE = 21.3503 ± 2.2097, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  144/150: MAE = 20.7313 ± 6.2591, params = {'initial_temperature': 300, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  145/150: MAE = 23.5673 ± 3.2333, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  146/150: MAE = 17.4512 ± 3.4642, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  147/150: MAE = 20.7372 ± 4.2003, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  148/150: MAE = 18.3620 ± 3.8333, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  149/150: MAE = 17.4230 ± 6.4154, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  150/150: MAE = 18.5750 ± 7.9925, params = {'initial_temperature': 300, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  >> Best params for outer fold 1: {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2} (MAE 13.8579 ± 7.5913)
Outer fold 1 MAE on test: 16.1025

=== Outer Fold 2/5 ===
  1/150: MAE = 21.5511 ± 2.6354, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  2/150: MAE = 19.9090 ± 5.0663, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  3/150: MAE = 20.0936 ± 5.5603, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  4/150: MAE = 22.9494 ± 6.0939, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  5/150: MAE = 25.1653 ± 2.8673, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  6/150: MAE = 19.0108 ± 2.9329, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  7/150: MAE = 19.8761 ± 2.1745, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  8/150: MAE = 17.9679 ± 4.6108, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  9/150: MAE = 21.9535 ± 3.8741, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  10/150: MAE = 18.5722 ± 3.9984, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  11/150: MAE = 25.7590 ± 2.3735, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  12/150: MAE = 22.7110 ± 6.1432, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  13/150: MAE = 25.9300 ± 1.1483, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  14/150: MAE = 18.8759 ± 4.9512, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  15/150: MAE = 23.6016 ± 2.4571, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  16/150: MAE = 16.3837 ± 1.3849, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  17/150: MAE = 20.6233 ± 2.7981, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  18/150: MAE = 18.3535 ± 0.6134, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  19/150: MAE = 17.7532 ± 2.6059, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  20/150: MAE = 19.1569 ± 0.8089, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  21/150: MAE = 22.4852 ± 2.9867, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  22/150: MAE = 21.2652 ± 2.5896, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  23/150: MAE = 23.1611 ± 4.0667, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  24/150: MAE = 20.0707 ± 0.7722, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  25/150: MAE = 24.4955 ± 4.1045, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  26/150: MAE = 22.3471 ± 6.6854, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  27/150: MAE = 20.3485 ± 3.7800, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  28/150: MAE = 20.4757 ± 3.6022, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
