1/216: MAE = 7.1905 ± 2.8905, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
20/216: MAE = 6.2516 ± 2.7296, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
21/216: MAE = 6.1294 ± 2.6725, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
22/216: MAE = 6.5373 ± 2.8058, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
23/216: MAE = 6.7623 ± 2.5109, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
24/216: MAE = 5.6839 ± 2.5958, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
25/216: MAE = 6.0324 ± 2.7278, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
26/216: MAE = 5.5604 ± 2.6414, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
27/216: MAE = 5.4798 ± 2.5926, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
28/216: MAE = 7.0656 ± 2.8661, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
29/216: MAE = 7.1151 ± 2.7262, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
30/216: MAE = 6.7656 ± 2.8051, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
31/216: MAE = 6.4502 ± 2.7729, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
32/216: MAE = 6.2671 ± 2.8396, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
33/216: MAE = 5.7279 ± 2.8004, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
34/216: MAE = 6.4972 ± 2.4642, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
35/216: MAE = 4.9220 ± 2.2018, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
36/216: MAE = 5.0612 ± 2.0927, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
37/216: MAE = 7.0969 ± 2.9195, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
38/216: MAE = 6.3275 ± 2.9705, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
39/216: MAE = 6.5633 ± 3.2028, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
40/216: MAE = 6.5594 ± 2.8997, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
41/216: MAE = 6.0015 ± 2.9333, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
42/216: MAE = 5.6145 ± 2.3446, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
43/216: MAE = 6.3200 ± 2.7723, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
44/216: MAE = 6.0095 ± 3.3186, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
45/216: MAE = 5.6768 ± 2.8729, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
46/216: MAE = 6.8812 ± 2.8927, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
47/216: MAE = 6.7420 ± 2.8903, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
48/216: MAE = 6.5684 ± 2.9474, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
49/216: MAE = 6.5412 ± 2.9406, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
50/216: MAE = 5.2310 ± 2.3533, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
51/216: MAE = 4.8155 ± 2.6645, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
52/216: MAE = 6.4875 ± 3.0607, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
53/216: MAE = 6.5714 ± 3.0184, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
54/216: MAE = 4.3602 ± 1.6551, params = {'population_size': 20, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
55/216: MAE = 6.3367 ± 2.9728, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
56/216: MAE = 6.4670 ± 2.6322, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
57/216: MAE = 5.9121 ± 2.8433, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
58/216: MAE = 5.9197 ± 2.9577, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
59/216: MAE = 5.9776 ± 2.6398, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
60/216: MAE = 5.1434 ± 2.5035, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
61/216: MAE = 6.2803 ± 2.6199, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
62/216: MAE = 5.1761 ± 2.2324, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
63/216: MAE = 4.8675 ± 2.8871, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
64/216: MAE = 6.7073 ± 2.9656, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
65/216: MAE = 6.5908 ± 3.1756, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
66/216: MAE = 6.2943 ± 3.0141, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
67/216: MAE = 6.5427 ± 3.0662, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
68/216: MAE = 5.4552 ± 2.4687, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
69/216: MAE = 5.8131 ± 2.5802, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
70/216: MAE = 6.4788 ± 2.9442, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
71/216: MAE = 5.0838 ± 2.8364, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
72/216: MAE = 5.1684 ± 2.6143, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
73/216: MAE = 6.1019 ± 2.7765, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
74/216: MAE = 5.9852 ± 2.9916, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
75/216: MAE = 5.7987 ± 2.8182, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
76/216: MAE = 6.3693 ± 2.5963, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
77/216: MAE = 5.8935 ± 2.6462, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
78/216: MAE = 4.4438 ± 2.4311, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
79/216: MAE = 5.8613 ± 2.3251, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
80/216: MAE = 5.5311 ± 2.6297, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
81/216: MAE = 4.0575 ± 1.9932, params = {'population_size': 30, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
82/216: MAE = 6.9568 ± 2.7220, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
83/216: MAE = 6.5151 ± 2.5907, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
84/216: MAE = 6.1870 ± 3.0091, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
85/216: MAE = 6.3205 ± 2.8391, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
86/216: MAE = 6.4026 ± 3.0379, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
87/216: MAE = 5.6204 ± 2.9582, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
88/216: MAE = 6.1616 ± 2.9617, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
89/216: MAE = 5.3120 ± 2.5888, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
90/216: MAE = 4.7556 ± 2.8320, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
91/216: MAE = 6.3097 ± 3.0144, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
92/216: MAE = 6.6334 ± 2.7799, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
93/216: MAE = 5.6026 ± 2.4846, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
94/216: MAE = 5.8586 ± 3.0248, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
95/216: MAE = 5.5421 ± 3.0672, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
96/216: MAE = 5.1651 ± 2.8847, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
97/216: MAE = 6.0505 ± 2.7355, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
98/216: MAE = 5.6475 ± 2.9012, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
99/216: MAE = 4.6483 ± 2.4268, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
100/216: MAE = 6.4541 ± 2.8664, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
101/216: MAE = 6.2734 ± 2.7864, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
102/216: MAE = 5.9282 ± 2.5625, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
103/216: MAE = 6.2152 ± 2.7888, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
104/216: MAE = 5.7163 ± 2.7895, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
105/216: MAE = 4.6960 ± 2.6466, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
106/216: MAE = 5.8340 ± 2.7562, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
107/216: MAE = 4.9385 ± 1.9308, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
108/216: MAE = 4.5392 ± 2.8223, params = {'population_size': 30, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
109/216: MAE = 6.4833 ± 2.8000, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
110/216: MAE = 6.0159 ± 2.7154, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
111/216: MAE = 5.6107 ± 2.7423, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
112/216: MAE = 6.4518 ± 2.9706, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
113/216: MAE = 5.5592 ± 2.3272, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
114/216: MAE = 4.3024 ± 2.0698, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
115/216: MAE = 5.9030 ± 2.4762, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
116/216: MAE = 5.4617 ± 2.4847, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
117/216: MAE = 4.4963 ± 2.5271, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
118/216: MAE = 6.3159 ± 2.6238, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
119/216: MAE = 6.3270 ± 2.8535, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
120/216: MAE = 5.7863 ± 2.7054, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
121/216: MAE = 6.0807 ± 2.9220, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
122/216: MAE = 5.1275 ± 2.5415, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
123/216: MAE = 4.2049 ± 1.9514, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
124/216: MAE = 5.9259 ± 2.7631, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
125/216: MAE = 5.0416 ± 2.1279, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
126/216: MAE = 4.7480 ± 3.0763, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
127/216: MAE = 6.3028 ± 2.8524, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
128/216: MAE = 5.8172 ± 2.9264, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
129/216: MAE = 5.5809 ± 2.8900, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
130/216: MAE = 6.3686 ± 2.9329, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
131/216: MAE = 5.1671 ± 2.3150, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
132/216: MAE = 4.3717 ± 2.3663, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
133/216: MAE = 5.5434 ± 2.4179, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
134/216: MAE = 5.2971 ± 2.3522, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
135/216: MAE = 4.3031 ± 2.9178, params = {'population_size': 40, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
136/216: MAE = 6.2416 ± 2.8556, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
137/216: MAE = 6.2852 ± 2.9024, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
138/216: MAE = 5.3104 ± 2.4207, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
139/216: MAE = 5.9993 ± 2.5765, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
140/216: MAE = 5.6100 ± 2.4779, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
141/216: MAE = 4.6757 ± 1.8693, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
142/216: MAE = 5.3047 ± 2.7756, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
143/216: MAE = 5.5405 ± 2.2810, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
144/216: MAE = 3.7864 ± 1.2463, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
145/216: MAE = 6.5611 ± 2.7425, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
146/216: MAE = 6.1919 ± 2.7312, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
147/216: MAE = 5.5267 ± 2.5741, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
148/216: MAE = 5.9066 ± 2.7891, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
149/216: MAE = 5.1483 ± 3.2333, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
150/216: MAE = 4.8676 ± 2.9500, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
151/216: MAE = 5.6152 ± 2.6638, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
152/216: MAE = 4.8703 ± 2.0785, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
153/216: MAE = 5.5794 ± 2.9144, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
154/216: MAE = 5.7638 ± 2.7861, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
155/216: MAE = 6.4924 ± 2.9983, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
156/216: MAE = 5.6783 ± 2.5562, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
157/216: MAE = 5.7155 ± 3.0416, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
158/216: MAE = 5.8042 ± 2.7198, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
159/216: MAE = 4.3712 ± 2.0151, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
160/216: MAE = 5.8182 ± 2.9278, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
161/216: MAE = 5.0618 ± 2.8437, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
162/216: MAE = 4.5601 ± 2.4814, params = {'population_size': 40, 'generations': 100, 'crossover_rate': 1.0, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
163/216: MAE = 6.4854 ± 2.9304, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
164/216: MAE = 5.8889 ± 2.5719, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
165/216: MAE = 5.2492 ± 2.7715, params = {'population_size': 50, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
